name,row,column,x,y
1.png,0,0,284,165
1.png,0,1,313,167
1.png,0,2,411,179
1.png,1,0,277,228
1.png,1,1,373,242
1.png,1,2,402,244
1.png,2,0,267,296
1.png,2,1,296,298
1.png,2,2,396,310
10.png,0,0,283,165
10.png,0,1,314,168
10.png,0,2,410,180
10.png,1,0,275,229
10.png,1,1,372,242
10.png,1,2,402,244
10.png,2,0,266,296
10.png,2,1,297,299
10.png,2,2,395,310
100.png,0,0,280,165
100.png,0,1,318,168
100.png,0,2,409,179
100.png,1,0,274,228
100.png,1,1,364,241
100.png,1,2,400,243
100.png,2,0,265,295
100.png,2,1,302,299
100.png,2,2,394,309
1000.png,0,0,262,162
1000.png,0,1,353,165
1000.png,0,2,388,165
1000.png,1,0,258,226
1000.png,1,1,295,228
1000.png,1,2,386,230
1000.png,2,0,257,293
1000.png,2,1,350,296
1000.png,2,2,383,295
1001.png,0,0,262,162
1001.png,0,1,353,165
1001.png,0,2,388,164
1001.png,1,0,258,226
1001.png,1,1,295,228
1001.png,1,2,386,230
1001.png,2,0,257,293
1001.png,2,1,350,296
1001.png,2,2,370,293
1002.png,0,0,262,162
1002.png,0,1,353,165
1002.png,0,2,388,164
1002.png,1,0,258,226
1002.png,1,1,295,228
1002.png,1,2,386,230
1002.png,2,0,257,293
1002.png,2,1,350,296
1002.png,2,2,370,293
1003.png,0,0,262,162
1003.png,0,1,353,165
1003.png,0,2,388,164
1003.png,1,0,258,226
1003.png,1,1,295,228
1003.png,1,2,386,230
1003.png,2,0,257,293
1003.png,2,1,350,296
1003.png,2,2,370,293
1004.png,0,0,262,162
1004.png,0,1,353,164
1004.png,0,2,388,164
1004.png,1,0,258,226
1004.png,1,1,295,228
1004.png,1,2,387,230
1004.png,2,0,257,293
1004.png,2,1,350,295
1004.png,2,2,383,294
1005.png,0,0,262,162
1005.png,0,1,353,164
1005.png,0,2,388,164
1005.png,1,0,258,226
1005.png,1,1,295,228
1005.png,1,2,387,230
1005.png,2,0,257,293
1005.png,2,1,350,295
1005.png,2,2,383,294
1006.png,0,0,262,162
1006.png,0,1,353,164
1006.png,0,2,388,164
1006.png,1,0,258,226
1006.png,1,1,295,228
1006.png,1,2,387,230
1006.png,2,0,257,293
1006.png,2,1,350,295
1006.png,2,2,383,294
1007.png,0,0,262,162
1007.png,0,1,353,164
1007.png,0,2,388,164
1007.png,1,0,258,226
1007.png,1,1,295,228
1007.png,1,2,387,230
1007.png,2,0,257,293
1007.png,2,1,350,295
1007.png,2,2,383,294
1008.png,0,0,261,162
1008.png,0,1,353,164
1008.png,0,2,388,164
1008.png,1,0,258,226
1008.png,1,1,295,228
1008.png,1,2,386,230
1008.png,2,0,257,293
1008.png,2,1,350,295
1008.png,2,2,383,294
1009.png,0,0,261,162
1009.png,0,1,353,164
1009.png,0,2,388,164
1009.png,1,0,258,226
1009.png,1,1,295,228
1009.png,1,2,386,230
1009.png,2,0,257,293
1009.png,2,1,350,295
1009.png,2,2,383,294
101.png,0,0,280,165
101.png,0,1,318,168
101.png,0,2,409,179
101.png,1,0,274,228
101.png,1,1,364,241
101.png,1,2,400,243
101.png,2,0,265,295
101.png,2,1,302,299
101.png,2,2,394,309
1010.png,0,0,261,162
1010.png,0,1,353,164
1010.png,0,2,388,164
1010.png,1,0,258,226
1010.png,1,1,295,228
1010.png,1,2,386,230
1010.png,2,0,257,293
1010.png,2,1,350,295
1010.png,2,2,383,294
1011.png,0,0,261,162
1011.png,0,1,353,164
1011.png,0,2,388,164
1011.png,1,0,258,226
1011.png,1,1,295,228
1011.png,1,2,386,230
1011.png,2,0,257,293
1011.png,2,1,350,295
1011.png,2,2,383,294
1012.png,0,0,261,162
1012.png,0,1,353,164
1012.png,0,2,388,164
1012.png,1,0,258,226
1012.png,1,1,295,228
1012.png,1,2,386,230
1012.png,2,0,257,293
1012.png,2,1,350,295
1012.png,2,2,383,294
1013.png,0,0,261,162
1013.png,0,1,353,164
1013.png,0,2,388,164
1013.png,1,0,258,226
1013.png,1,1,295,228
1013.png,1,2,386,230
1013.png,2,0,257,293
1013.png,2,1,350,295
1013.png,2,2,383,294
1014.png,0,0,261,162
1014.png,0,1,353,164
1014.png,0,2,388,164
1014.png,1,0,258,226
1014.png,1,1,295,228
1014.png,1,2,386,230
1014.png,2,0,257,293
1014.png,2,1,350,295
1014.png,2,2,383,294
1015.png,0,0,261,161
1015.png,0,1,353,164
1015.png,0,2,388,164
1015.png,1,0,259,226
1015.png,1,1,295,228
1015.png,1,2,387,230
1015.png,2,0,257,293
1015.png,2,1,350,295
1015.png,2,2,384,294
1016.png,0,0,261,161
1016.png,0,1,353,164
1016.png,0,2,388,164
1016.png,1,0,259,226
1016.png,1,1,295,228
1016.png,1,2,387,230
1016.png,2,0,257,293
1016.png,2,1,350,295
1016.png,2,2,384,294
1017.png,0,0,261,161
1017.png,0,1,353,164
1017.png,0,2,388,164
1017.png,1,0,259,226
1017.png,1,1,295,228
1017.png,1,2,387,230
1017.png,2,0,257,293
1017.png,2,1,350,295
1017.png,2,2,384,294
1018.png,0,0,262,162
1018.png,0,1,354,165
1018.png,0,2,388,164
1018.png,1,0,259,226
1018.png,1,1,296,228
1018.png,1,2,387,230
1018.png,2,0,257,293
1018.png,2,1,350,296
1018.png,2,2,384,294
1019.png,0,0,262,162
1019.png,0,1,354,165
1019.png,0,2,388,164
1019.png,1,0,259,226
1019.png,1,1,296,228
1019.png,1,2,387,230
1019.png,2,0,257,293
1019.png,2,1,350,296
1019.png,2,2,384,294
102.png,0,0,280,165
102.png,0,1,318,168
102.png,0,2,409,179
102.png,1,0,274,228
102.png,1,1,364,241
102.png,1,2,400,243
102.png,2,0,265,295
102.png,2,1,302,299
102.png,2,2,394,309
1020.png,0,0,262,162
1020.png,0,1,354,165
1020.png,0,2,388,164
1020.png,1,0,259,226
1020.png,1,1,296,228
1020.png,1,2,387,230
1020.png,2,0,257,293
1020.png,2,1,350,296
1020.png,2,2,384,294
1021.png,0,0,262,162
1021.png,0,1,354,165
1021.png,0,2,388,164
1021.png,1,0,259,226
1021.png,1,1,296,228
1021.png,1,2,387,230
1021.png,2,0,257,293
1021.png,2,1,350,296
1021.png,2,2,384,294
1022.png,0,0,262,162
1022.png,0,1,354,164
1022.png,0,2,388,164
1022.png,1,0,259,226
1022.png,1,1,297,228
1022.png,1,2,387,230
1022.png,2,0,258,293
1022.png,2,1,350,296
1022.png,2,2,384,294
1023.png,0,0,262,162
1023.png,0,1,354,164
1023.png,0,2,388,164
1023.png,1,0,259,226
1023.png,1,1,297,228
1023.png,1,2,387,230
1023.png,2,0,258,293
1023.png,2,1,350,296
1023.png,2,2,384,294
1024.png,0,0,262,162
1024.png,0,1,354,164
1024.png,0,2,388,164
1024.png,1,0,259,226
1024.png,1,1,297,228
1024.png,1,2,387,230
1024.png,2,0,258,293
1024.png,2,1,350,296
1024.png,2,2,384,294
1025.png,0,0,262,162
1025.png,0,1,354,164
1025.png,0,2,388,164
1025.png,1,0,259,226
1025.png,1,1,297,228
1025.png,1,2,387,230
1025.png,2,0,258,293
1025.png,2,1,350,296
1025.png,2,2,384,294
1026.png,0,0,262,161
1026.png,0,1,353,164
1026.png,0,2,389,164
1026.png,1,0,259,226
1026.png,1,1,297,228
1026.png,1,2,387,229
1026.png,2,0,258,293
1026.png,2,1,350,296
1026.png,2,2,384,294
1027.png,0,0,262,161
1027.png,0,1,353,164
1027.png,0,2,389,164
1027.png,1,0,259,226
1027.png,1,1,297,228
1027.png,1,2,387,229
1027.png,2,0,258,293
1027.png,2,1,350,296
1027.png,2,2,384,294
1028.png,0,0,262,161
1028.png,0,1,353,164
1028.png,0,2,389,164
1028.png,1,0,259,226
1028.png,1,1,297,228
1028.png,1,2,387,229
1028.png,2,0,258,293
1028.png,2,1,350,296
1028.png,2,2,384,294
1029.png,0,0,262,161
1029.png,0,1,353,164
1029.png,0,2,389,164
1029.png,1,0,259,226
1029.png,1,1,297,228
1029.png,1,2,387,229
1029.png,2,0,258,293
1029.png,2,1,350,296
1029.png,2,2,384,294
103.png,0,0,280,165
103.png,0,1,318,168
103.png,0,2,409,179
103.png,1,0,274,228
103.png,1,1,364,241
103.png,1,2,400,243
103.png,2,0,265,295
103.png,2,1,302,299
103.png,2,2,394,309
1030.png,0,0,262,161
1030.png,0,1,353,164
1030.png,0,2,389,164
1030.png,1,0,259,226
1030.png,1,1,297,228
1030.png,1,2,387,229
1030.png,2,0,257,293
1030.png,2,1,350,296
1030.png,2,2,384,294
1031.png,0,0,262,161
1031.png,0,1,353,164
1031.png,0,2,389,164
1031.png,1,0,259,226
1031.png,1,1,297,228
1031.png,1,2,387,229
1031.png,2,0,257,293
1031.png,2,1,350,296
1031.png,2,2,384,294
1032.png,0,0,262,161
1032.png,0,1,353,164
1032.png,0,2,389,164
1032.png,1,0,259,226
