name,row,column,x,y
0,0,0,283,166
0,0,1,314,168
0,0,2,411,180
0,1,0,275,229
0,1,1,372,242
0,1,2,401,244
0,2,0,266,296
0,2,1,297,299
0,2,2,393,310
1,0,0,283,166
1,0,1,314,168
1,0,2,411,180
1,1,0,275,229
1,1,1,372,242
1,1,2,401,244
1,2,0,266,296
1,2,1,297,299
1,2,2,393,310
2,0,0,283,166
2,0,1,314,168
2,0,2,411,180
2,1,0,275,229
2,1,1,372,242
2,1,2,401,244
2,2,0,266,296
2,2,1,297,299
2,2,2,393,310
3,0,0,283,165
3,0,1,315,168
3,0,2,411,180
3,1,0,275,229
3,1,1,372,242
3,1,2,402,244
3,2,0,267,296
3,2,1,298,299
3,2,2,394,310
4,0,0,283,165
4,0,1,315,168
4,0,2,411,180
4,1,0,275,229
4,1,1,372,242
4,1,2,402,244
4,2,0,267,296
4,2,1,298,299
4,2,2,394,310
5,0,0,283,165
5,0,1,315,168
5,0,2,411,180
5,1,0,275,229
5,1,1,372,242
5,1,2,402,244
5,2,0,267,296
5,2,1,298,299
5,2,2,394,310
6,0,0,283,165
6,0,1,315,168
6,0,2,411,180
6,1,0,275,229
6,1,1,372,242
6,1,2,402,244
6,2,0,267,296
6,2,1,298,299
6,2,2,394,310
7,0,0,283,165
7,0,1,315,168
7,0,2,410,180
7,1,0,275,229
7,1,1,371,242
7,1,2,402,244
7,2,0,267,296
7,2,1,299,299
7,2,2,395,309
8,0,0,283,165
8,0,1,315,168
8,0,2,410,180
8,1,0,275,229
8,1,1,371,242
8,1,2,402,244
8,2,0,267,296
8,2,1,299,299
8,2,2,395,309
9,0,0,283,165
9,0,1,315,168
9,0,2,410,180
9,1,0,275,229
9,1,1,371,242
9,1,2,402,244
9,2,0,267,296
9,2,1,299,299
9,2,2,395,309
10,0,0,284,165
10,0,1,315,168
10,0,2,410,180
10,1,0,275,228
10,1,1,371,242
10,1,2,402,244
10,2,0,266,296
10,2,1,299,298
10,2,2,395,309
11,0,0,284,165
11,0,1,315,168
11,0,2,410,180
11,1,0,275,228
11,1,1,371,242
11,1,2,402,244
11,2,0,266,296
11,2,1,299,298
11,2,2,395,309
12,0,0,284,165
12,0,1,315,168
12,0,2,410,180
12,1,0,275,228
12,1,1,371,242
12,1,2,402,244
12,2,0,266,296
12,2,1,299,298
12,2,2,395,309
13,0,0,284,165
13,0,1,315,168
13,0,2,410,180
13,1,0,275,228
13,1,1,371,242
13,1,2,402,244
13,2,0,266,296
13,2,1,299,298
13,2,2,395,309
14,0,0,283,165
14,0,1,315,168
14,0,2,410,180
14,1,0,275,228
14,1,1,371,241
14,1,2,402,244
14,2,0,267,295
14,2,1,299,298
14,2,2,394,309
15,0,0,283,165
15,0,1,315,168
15,0,2,410,180
15,1,0,275,228
15,1,1,371,241
15,1,2,402,244
15,2,0,267,295
15,2,1,299,298
15,2,2,394,309
16,0,0,283,165
16,0,1,315,168
16,0,2,410,180
16,1,0,275,228
16,1,1,371,241
16,1,2,402,244
16,2,0,267,295
16,2,1,299,298
16,2,2,394,309
17,0,0,283,165
17,0,1,315,168
17,0,2,410,180
17,1,0,276,228
17,1,1,370,241
17,1,2,401,244
17,2,0,267,295
17,2,1,299,298
17,2,2,394,309
18,0,0,283,165
18,0,1,315,168
18,0,2,410,180
18,1,0,276,228
18,1,1,370,241
18,1,2,401,244
18,2,0,267,295
18,2,1,299,298
18,2,2,394,309
19,0,0,283,165
19,0,1,315,168
19,0,2,410,180
19,1,0,276,228
19,1,1,370,241
19,1,2,401,244
19,2,0,267,295
19,2,1,299,298
19,2,2,394,309
20,0,0,283,165
20,0,1,315,168
20,0,2,410,180
20,1,0,276,228
20,1,1,370,241
20,1,2,401,244
20,2,0,267,295
20,2,1,299,298
20,2,2,394,309
21,0,0,283,165
21,0,1,316,168
21,0,2,410,180
21,1,0,276,228
21,1,1,370,241
21,1,2,401,244
21,2,0,267,295
21,2,1,299,298
21,2,2,394,309
22,0,0,283,165
22,0,1,316,168
22,0,2,410,180
22,1,0,276,228
22,1,1,370,241
22,1,2,401,244
22,2,0,267,295
22,2,1,299,298
22,2,2,394,309
23,0,0,283,165
23,0,1,316,168
23,0,2,410,180
23,1,0,276,228
23,1,1,370,241
23,1,2,401,244
23,2,0,267,295
23,2,1,299,298
23,2,2,394,309
24,0,0,283,165
24,0,1,316,168
24,0,2,410,180
24,1,0,276,228
24,1,1,370,241
24,1,2,401,244
24,2,0,267,295
24,2,1,299,298
24,2,2,394,309
25,0,0,282,165
25,0,1,316,168
25,0,2,411,180
25,1,0,276,228
25,1,1,369,241
25,1,2,401,244
25,2,0,267,296
25,2,1,300,299
25,2,2,394,309
26,0,0,282,165
26,0,1,316,168
26,0,2,411,180
26,1,0,276,228
26,1,1,369,241
