Points index,px,py,pz
D8,35.7954471839,79.9270098493,36.3449793117
D9,38.3369334276,82.3399753517,46.2184466006
D11,42.790846792,87.0820743333,65.490243835
D12,45.0910071038,89.4888037912,75.1741392099
D13,46.3107038061,91.1338179714,85.3719960253
F8,49.5926800993,90.4841088393,29.9358198813
F9,51.9458927519,92.7752729328,39.7224414256
F11,56.4988113633,97.6519533859,59.6721419299
F12,58.6880601876,99.8232084563,69.2922567981
F13,60.8375787804,102.0440384308,78.6305124111
K8,85.9907805112,117.9494604484,13.8672602501
K9,88.8064035392,120.6060546778,22.5857493289
K11,93.5041559812,125.3750584563,43.2683662127
K12,95.9091230627,127.9694905406,52.8924130757
K13,98.2640038311,130.269366053,62.2572452951
O8,116.400953314,139.8095104548,0.5094278308
O9,118.6382901324,141.8727313017,10.2751279195
O11,123.5980515271,146.810413356,29.7438648493
O12,126.1370051708,149.4529818753,39.4687442806
O13,128.5771641079,151.4634494112,49.0828408962
N8,143.2295901394,92.9679794388,4.6775230886
N9,145.3395197306,95.0595466511,15.3243231331
N11,150.4166258181,99.4354835743,35.0278813428
N12,152.6960745159,101.5872209609,44.8521661248
N13,155.3795555193,104.0172212735,54.2823381942
H8,99.6736526642,58.0331836633,23.5888023026
H9,101.9218967315,60.0676962443,33.8555083084
H11,106.5366159742,63.9823360747,54.1087765141
H12,108.9348035656,66.0699719041,63.782181006
H13,111.759798588,68.6021183227,72.749931567
E8,77.1467406271,39.4882183069,33.952248856
E9,79.8328360479,41.911594191,43.8830927536
E11,84.6305367345,46.2427247592,63.0309142272
E12,87.0828093646,48.2611562774,72.7287505616
E13,89.4026122002,50.3581427609,81.8960052637
